City,State,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population
Costa Mesa,CA,8,0,0,1,0,0,0,0,0,112958.0
Culver,CA,7,0,0,1,1,0,0,1,0,38913.0
Cypress,CA,1,0,0,1,1,0,0,1,0,49137.0
Dallas,TX,184,1,1,1,1,1,1,1,1,1338846.0
Daly,CA,5,0,0,1,1,0,0,1,0,107197.0
Davis,CA,7,1,1,1,1,0,1,1,1,68640.0
Dayton,OH,55,0,1,1,1,0,1,0,0,140444.0
Delray Beach,FL,11,0,1,1,0,0,0,1,1,68916.0
Denver,CO,119,1,1,1,1,1,1,1,1,715878.0
Des Moines,IA,33,1,1,1,1,0,0,1,0,215408.0
Desert Hot Springs,CA,9,1,0,1,1,0,0,1,0,29280.0
Detroit,MI,177,1,1,1,1,0,1,1,1,672351.0
Dover,DE,3,1,1,1,0,0,1,0,0,37872.0
Dover,NH,1,0,1,1,1,0,1,1,0,31922.0
Downey,CA,10,0,0,1,0,0,0,0,0,111263.0
Durham,NC,25,1,1,1,1,1,1,1,1,276341.0
East Palo Alto,CA,4,0,0,1,1,1,0,1,0,29448.0
El Cajon,CA,16,1,1,1,0,0,1,0,0,103249.0
El Centro,CA,5,1,0,1,0,0,0,1,0,43881.0
El Monte,CA,15,0,0,1,1,0,0,1,0,113917.0
El Paso,TX,62,0,1,0,1,0,1,0,0,679879.0
El Segundo,CA,4,1,0,1,1,0,0,1,0,16575.0
Elk Grove,CA,13,1,1,1,1,0,0,1,0,173370.0
Emeryville,CA,2,0,0,1,1,0,0,1,0,11679.0
Escondido,CA,28,0,0,1,1,0,0,0,1,150396.0
Eugene,OR,11,0,0,1,0,0,0,1,0,170457.0
Eureka,CA,12,0,0,1,1,0,0,1,0,26938.0
Everett,MA,2,1,1,1,1,0,1,1,1,46275.0
Everett,WA,15,1,1,1,1,0,1,1,0,110840.0
Fairfield,CA,10,0,0,1,1,0,0,1,0,116544.0
Fayetteville,NC,38,1,1,0,0,0,0,1,0,211201.0
Fishers,IN,2,0,0,1,1,1,0,0,0,93488.0
Fitchburg,WI,1,0,1,1,1,0,1,0,1,30032.0
Flagstaff,AZ,13,0,1,0,1,0,0,1,1,73319.0
Folsom,CA,6,1,0,1,1,0,0,1,0,79584.0
Fontana,CA,32,0,0,1,1,0,0,1,0,212704.0
Forest Grove,OR,3,1,0,1,1,0,0,1,0,24847.0
Fort Collins,CO,20,0,0,1,0,0,0,1,0,166069.0
Fort Lauderdale,FL,41,0,0,1,0,0,0,0,1,181818.0
Fort Myers,FL,19,0,1,1,0,0,0,1,0,83505.0
Fort Wayne,IN,34,0,1,0,1,0,0,0,1,268378.0
Fort Worth,TX,83,1,1,1,1,1,0,1,0,892221.0
Foster,CA,1,0,0,1,1,1,0,1,1,33056.0
Fountain Valley,CA,7,0,0,1,1,0,0,1,0,56118.0
Framingham,MA,2,1,1,1,1,1,1,1,1,72846.0
Franklin,MA,1,0,1,1,1,1,1,0,0,33644.0
Frederick,MD,15,1,0,1,0,0,0,1,1,71843.0
Fredericksburg,VA,13,0,0,1,0,1,0,1,0,29059.0
Fremont,CA,21,1,0,1,1,0,0,1,0,234829.0
Fresno,CA,133,1,0,1,1,1,0,1,0,526147.0
Fridley,MN,3,1,0,1,1,0,0,1,1,27789.0
Fullerton,CA,13,1,0,1,1,0,0,1,0,141061.0
Gainesville,FL,16,1,1,1,0,0,1,1,0,133611.0
Gaithersburg,MD,3,1,0,1,1,0,1,1,1,67878.0
Garden Grove,CA,25,0,0,1,0,0,0,0,0,172800.0
Gardena,CA,21,0,0,1,1,0,0,1,0,59401.0
Garland,TX,25,0,0,1,1,0,0,0,0,238622.0
Geneva,NY,1,0,0,1,0,0,0,0,0,12720.0
Gilbert,AZ,7,0,1,1,1,0,1,0,1,248349.0
Gilroy,CA,12,0,0,1,1,0,0,0,0,55227.0
Glendale,AZ,27,0,1,0,0,0,1,0,0,250290.0
Glendale,CA,9,1,1,1,1,0,1,1,0,199357.0
Goodyear,AZ,3,0,1,1,1,0,0,1,0,83519.0
Grand Prairie,TX,8,0,0,1,1,0,0,0,0,193835.0
Grand Rapids,MI,20,0,0,1,0,0,0,1,0,199417.0
Green Bay,WI,12,1,0,1,1,0,0,1,0,104508.0
Greenfield,CA,1,0,0,1,1,0,0,1,0,17565.0
Greenfield,MA,1,1,1,0,1,0,0,0,0,17353.0
Greensboro,NC,23,1,0,0,0,0,0,1,0,294395.0
Greenville,SC,31,1,1,0,1,0,1,1,0,69648.0
Greenville,TX,3,0,0,1,0,0,1,0,0,28088.0
Hackensack,NJ,7,1,1,1,1,1,1,1,1,44266.0
Hagerstown,MD,8,1,1,0,1,0,0,1,0,40027.0
Harrisburg,PA,23,1,1,1,1,0,1,1,1,49247.0
Hartford,CT,15,1,1,1,1,0,1,1,1,122549.0
Hayward,CA,28,0,0,1,1,0,0,1,1,158817.0
Helena,MT,2,0,0,0,0,0,0,1,1,32655.0
Henderson,NV,27,1,1,1,1,0,1,1,0,309955.0
Hialeah,FL,17,0,1,0,0,0,0,1,0,233876.0
Hoffman Estates,IL,1,0,1,0,1,0,1,1,0,50464.0
Honolulu,HI,26,1,1,1,1,0,0,1,1,347181.0
Houston,TX,445,1,1,1,0,0,1,1,1,2313238.0
Hudson,OH,1,0,0,0,1,0,0,1,0,22249.0
Huntington Beach,CA,15,0,0,1,1,0,0,1,0,199778.0
Idaho Falls,ID,13,1,0,0,1,0,0,1,0,62417.0
Imperial,CA,2,0,0,1,1,0,0,1,0,18631.0
Indianapolis,IN,113,1,1,1,1,0,0,1,0,869387.0
Inglewood,CA,28,1,0,1,1,0,0,1,0,109309.0
Irvine,CA,5,1,1,1,1,0,0,1,0,272694.0
Irving,TX,12,0,0,0,0,0,0,0,1,240475.0
Issaquah,WA,1,0,1,0,1,0,0,1,0,38707.0
Ithaca,NY,3,1,1,1,1,0,0,0,1,30715.0
Jackson,MS,47,1,1,1,1,1,1,1,1,163778.0
Jacksonville,FL,134,0,1,1,1,0,0,0,0,902488.0
Janesville,WI,1,0,1,0,0,0,0,1,0,64415.0
Jersey,NJ,19,1,1,1,1,1,1,1,1,262652.0
Joplin,MO,15,0,1,0,0,0,0,0,0,50580.0
Kenosha,WI,9,1,1,1,1,0,1,1,0,99767.0
Killeen,TX,12,1,1,1,1,0,1,1,0,148573.0
Kirkland,WA,4,1,0,1,1,0,1,1,0,91146.0
Knoxville,TN,49,1,0,0,1,0,1,0,0,187487.0
La Habra,CA,9,0,0,1,1,0,0,1,0,62787.0
Lafayette,LA,24,0,0,0,0,0,0,1,1,126674.0
Laguna Beach,CA,5,0,0,1,1,0,0,1,0,22991.0
Lakeland,FL,26,0,0,0,0,0,0,0,1,110335.0
Lakewood,CA,7,1,1,1,0,1,1,1,0,79676.0
Lakewood,NJ,2,1,1,1,1,1,1,1,1,55039.0
Lancaster,PA,7,1,1,0,1,0,0,1,1,59321.0
Lansing,MI,9,0,0,0,1,0,0,1,0,117488.0
Laredo,TX,24,0,1,1,1,0,1,0,0,260571.0
Las Vegas,NV,196,1,1,1,1,1,1,1,0,644594.0
Lawrence,MA,5,0,1,0,1,0,1,1,1,80022.0
Lexington,SC,9,1,0,0,0,0,0,1,1,21847.0
Lincoln,CA,4,0,0,1,1,0,0,1,0,48150.0
Lincoln,NE,15,1,1,1,1,0,1,1,1,286388.0
Little Rock,AR,56,1,1,1,0,0,1,0,0,198067.0
Livermore,CA,3,1,0,1,1,0,0,1,0,91763.0
Lockhart,TX,1,0,0,0,1,0,0,1,0,13782.0
Lodi,CA,9,0,0,1,1,0,0,1,0,66562.0
Long Beach,CA,92,1,0,1,1,0,1,1,0,462081.0
Los Alamitos,CA,1,0,0,1,1,0,0,1,0,11521.0
Los Angeles,CA,407,1,1,1,1,1,1,1,1,3973278.0
Los Gatos,CA,1,0,0,1,1,0,0,1,0,31943.0
Louisville,KY,84,1,1,1,1,0,1,1,0,618733.0
Lubbock,TX,33,1,1,0,1,1,1,1,0,257013.0
Lynchburg,VA,5,1,1,1,1,0,1,1,0,80970.0
Madera,CA,8,0,0,1,0,0,0,0,0,65575.0
Madison,WI,27,1,1,1,1,0,1,1,1,258366.0
Manteca,CA,5,1,1,1,1,0,0,1,0,81078.0
Marana,AZ,4,1,1,0,1,0,0,0,0,47164.0
Maricopa,AZ,6,0,0,0,0,0,0,1,1,50358.0
Maryville,TN,13,1,0,1,1,0,0,1,0,29325.0
Matthews,NC,1,0,1,1,1,0,0,1,1,32682.0
Medford,OR,10,1,1,1,1,0,0,1,0,82098.0
Memphis,TN,104,0,0,0,0,0,1,1,0,650910.0
Merced,CA,14,0,0,1,1,0,0,1,0,84081.0
Mesa,AZ,71,0,1,0,1,0,0,1,0,508918.0
Miami,FL,137,1,1,1,1,1,1,1,0,461080.0
Middletown,CT,1,1,0,1,1,0,1,1,1,46406.0
Middletown,NY,5,0,0,1,0,0,0,0,0,28018.0
Midlothian,TX,3,0,0,0,0,0,0,1,0,31533.0
Milpitas,CA,1,0,0,1,1,0,0,1,0,75182.0
Milwaukee,WI,109,1,1,1,1,1,0,1,1,592649.0
Minneapolis,MN,61,1,1,1,1,1,0,1,1,424536.0
Missoula,MT,7,0,1,0,0,0,0,1,0,74994.0
Mobile,AL,40,0,1,0,1,0,1,0,0,189994.0
Modesto,CA,64,0,0,1,1,0,0,1,0,214485.0
Monterey,CA,2,1,0,1,1,0,0,1,0,28575.0
Montgomery,AL,28,0,0,0,0,0,0,0,0,199054.0
Morgan,LA,1,0,1,1,1,0,1,0,1,10963.0
Morgan Hill,CA,1,0,0,1,1,0,0,1,0,44789.0
